CodProvincia;CodMunicipio;CodigoPostal;Municipio;Provincia
1;1;1240;Alegría-Dulantzi;Araba/Álava
1;1;1193;Alegría-Dulantzi;Araba/Álava
1;2;1450;Amurrio;Araba/Álava
1;2;1468;Amurrio;Araba/Álava
1;2;1470;Amurrio;Araba/Álava
1;3;1160;Aramaio;Araba/Álava
1;3;1165;Aramaio;Araba/Álava
1;3;1169;Aramaio;Araba/Álava
1;4;1474;Artziniega;Araba/Álava
1;4;1478;Artziniega;Araba/Álava
1;6;1211;Armiñón;Araba/Álava
1;6;1220;Armiñón;Araba/Álava
1;8;1510;Arratzua-Ubarrundia;Araba/Álava
1;8;1520;Arratzua-Ubarrundia;Araba/Álava
1;9;1250;Asparrena;Araba/Álava
1;9;1260;Asparrena;Araba/Álava
1;9;1208;Asparrena;Araba/Álava
1;10;1408;Ayala/Aiara;Araba/Álava
1;10;1470;Ayala/Aiara;Araba/Álava
1;10;1476;Ayala/Aiara;Araba/Álava
1;10;1477;Ayala/Aiara;Araba/Álava
1;10;1478;Ayala/Aiara;Araba/Álava
1;10;1479;Ayala/Aiara;Araba/Álava
1;11;1307;Baños de Ebro/Mañueta;Araba/Álava
1;13;1206;Barrundia;Araba/Álava
1;13;1208;Barrundia;Araba/Álava
1;14;1211;Berantevilla;Araba/Álava
1;14;1220;Berantevilla;Araba/Álava
1;14;1212;Berantevilla;Araba/Álava
1;16;1118;Bernedo;Araba/Álava
1;16;1128;Bernedo;Araba/Álava
1;16;1194;Bernedo;Araba/Álava
1;16;1216;Bernedo;Araba/Álava
1;17;1110;Campezo/Kanpezu;Araba/Álava
1;17;1117;Campezo/Kanpezu;Araba/Álava
1;17;1128;Campezo/Kanpezu;Araba/Álava
1;18;1138;Zigoitia;Araba/Álava
1;18;1196;Zigoitia;Araba/Álava
1;19;1308;Kripan;Araba/Álava
1;20;1439;Kuartango;Araba/Álava
1;20;1430;Kuartango;Araba/Álava
1;21;1192;Elburgo/Burgelu;Araba/Álava
1;21;1193;Elburgo/Burgelu;Araba/Álava
1;22;1340;Elciego;Araba/Álava
1;23;1309;Elvillar/Bilar;Araba/Álava
1;27;1193;Iruraiz-Gauna;Araba/Álava
1;27;1206;Iruraiz-Gauna;Araba/Álava
1;27;1207;Iruraiz-Gauna;Araba/Álava
1;28;1012;Labastida/Bastida;Araba/Álava
1;28;1212;Labastida/Bastida;Araba/Álava
1;28;1330;Labastida/Bastida;Araba/Álava
